Graph_ID	Inventory_ID	Name	Acronym	Description	Format	Decision	Inbound_Data_Linkage	Inbound_Data_Linkage_List	Outbound_Data_Linkage	Outbound_Data_Linkage_List	Two_Way_Linkage	Two_Way_Linkage_List	Send_To_Dataset	Send_To_Data_Product	Informs_Decision	Label	Topic
1	1	Fishery Operations System	FOS	The Fishery Operations System (FOS) is the Department of Fisheries and Oceans Canada’s (DFO) centralized Oracle database that holds commercial salmon fishery catch, effort and biological data.  Application associated with FOS are: 1. Fishery notifications System (FOS_FNS); APM 525 2. Salmon Module SQL scripts & calls (FOS_SM); APM 534 3. Fishery Notice Module (FOS_FNM); APM 531 4. Importer Module IMPORTER SPECS (FOS_IM); APM 533 5. Web Services INCOMING EMAIL  (FOS_WS); APM 536	Oracle database	FOS supports fishery/resource managers to determine commercial fishing openings and closure decisions and stock assessment's development of run-size prediction models.	PADS, NOLS, PACHARV3	PADS|NOLS|PACHARV3	Salmon ITQ - Area B & H, Salmon ITQ - Area A, Salmon ITQ - Area F, MRP_SYS, Albion Fraser Interior Test Fishery Dataset	SITQ_BH|SITQ_A|SITQ_F|MRP_SYS|FOS_AFITFD						Database	Fisheries Management - Commercial
2	2	Aboriginal Harvest Management System	AHMS	Formerly known has the FSC Standalone Database. AHMS is a remote data collection system and is a component of the KREST platform. SQLite converting to Postgres SQL	SQLite	AHMS data supports FSC allocation decisions, assessing catch and effort in certain areas, and supporting treaty negotiations.					KREST	KREST				Database	Fisheries Management - Indigenous
3	5	Aquaculture Integrated Information System	AQUIIS	AQUIIS supports the complete process of aquaculture licence application, review and assessment, approval, renewal and amendment, along with associated processes for data management and compliance assessment of industry reported data required under conditions of licence.	Oracle database	Supports management of the aquaculture industry in BC, including monitoring key metrics of environmental performance and providing support for licence, policy and compliance decisions.			AQUIIS AAR	AQUIIS AAR			Records_DS|Funding_DS|Meta_DS			Database	Aquaculture
4	9	C&P Inspection Database	INSPECTIONS	Provides a common location for C&P inspection data accessible by C&P Officers in the Pacific and across Canada. Web based application that is tied to the database. Applications assoicated with INSPECTIONS are: 1. C&P Inspection (INSPECTIONS) Internal Web Application	Oracle database	Supports enforcement of inspections authorities.										Database	Enforcement
5	11	Catch and Release Estimation Survey Tool	CREST	CREST holds catch, effort, and biosample data for South Coast Area recreational fisheries. It also supports a suite of analytical tools and custom reports that facilitate South Coast programs and communication with the public. Work is now underway to retire CREST and transition to the KREST data management system.	Oracle database	CREST is critical to inform many recreational fishery management decisions including catch explotation rates, forcasting etc.	FOS, PADS, (OTOLITH_ONLINE and OTOLITH_LAB)	FOS|PADS|OTOLITH_ONLINE and OTOLITH_LAB			MRP_SYS	MRP_SYS				Database	Fisheries Management - Recreational
7	16	Coastal and Offshore Juvenile Salmon Survey	BCSI Database	Basin and Coastal Scale Interactions Program database. Includes marine trawl data from high seas salmon and BCSI juvenile salmon surveys. Data from 1992 to present. Offshore and coastal BC area excluding the Strait of Georgia.	MS Access	Supports long term planning amd scientific advice on salmon abundance and ecosystem assessments										Database	Science
8	21	Enhancement Planning and Assessment	EPAD	Used by the Salmonid Enhancement Program (SEP) for production planning and assessment of enhanced Pacific salmon.	Oracle database	Assessment decisions for enhanced salmon to support harvest and conservation objectives including  metrics to determine success and priority of each production line e.g. survival rates, harvest rates, hatchery contribution to catch/escapement.	ENPRO, E-PRO, NuSEDS, PADS, FOS, (OTOLITH_ONLINE and OTOLITH_LAB)	ENPRO|E-PRO|NuSEDS|PADS|FOS|OTOLITH_ONLINE and OTOLITH_LAB			MRP_SYS	MRP_SYS				Database	Enhancement
9	22	Enhancement Program	E-PRO	A project to replace the ENPRO application. Cloud based web based application to track inventory, providing analysis of metrics to evaluate success or challenges in types of operations e.g. climate change/water temperature trends, and support adaptive management of hatchery production/enhancement operational methods and procedures	SQL Server		ENPRO, E-PRO, NuSEDS, PADS, FOS, (OTOLITH_ONLINE and OTOLITH_LAB)	ENPRO|E-PRO|NuSEDS|PADS|FOS|OTOLITH_ONLINE and OTOLITH_LAB			MRP_SYS	MRP_SYS				Database	Enhancement
10	23	Enhancement Project	ENPRO	ENPRO database contains data on salmon adult escapement; egg takes; egg incubation; and juvenile rearing, marking and release.	MS Access	Supports decisions on a wide variety of issues by integrating with MRP_SYS, FOS (salmon catch), NuSEDs (annual escapement estimates, conservation units, population designation, standard spatial reference), lab data such as scale aging and DNA genomic data.	ENPRO, E-PRO, NuSEDS, PADS, FOS, (OTOLITH_ONLINE and OTOLITH_LAB)	ENPRO|E-PRO|NuSEDS|PADS|FOS|OTOLITH_ONLINE and OTOLITH_LAB			MRP_SYS	MRP_SYS				Database	Enhancement
11	26	Fish Health Audit and Surveillance System	FHAS	Aquaculture Fish Health Management tool. Will be replaced with AHEAD. Will be in production for another quarter and availbe for another year.	.Net Framework											Database	Science
